task_uuid,crawler_id,crawler_type,departure_station,dep_code,arrival_station,arr_code,coach_class_code_array,train_brand_code_array,fare_code_array,departure_date,interval_in_sec,priority,reverse,maximum_changes,last_update_date,status,error_count,message,created,harvester_server_id,dep_station_uuid,arr_station_uuid
6251455e-57d7-11f0-bcb7-dae1f03d1618,tripdbahn,TRIPEU,26,DE4739,25,AT0748,"1st class, 2nd class","DB 1 change, DNZ, DPF, DPN, EC, ECB, ECE, ECW, EX, IC, ICE, IR, IXB, NJ, RE, RHI, RHT, RJ, RJB, RJd, RJX, TGV, THA","Flexpreis, Flexpreis Europa, Normalpreis, Normalpreis Europa, Prag Spezial, Quer-durchs-Land-Ticket, Regio-Ticket Main-Spessart plus Frankfurt, Sparpreis, Super Offerta, Super Sparpreis, Super Sparpreis Europa",2025-08-02,432000,0,1,2,2025-07-11 13:25:18,Completed,0,Success,2025-07-03 06:31:32,0,d31e5648-6666-4803-8bb2-a078af897d0b,d3d8edfc-804b-44c4-8357-3a9cef71d98e
625394ea-57d7-11f0-bcb7-dae1f03d1618,tripdbahn,TRIPEU,6250,DE7986,26,DE4739,"1st class, 2nd class","DB 1 change, DNZ, DPF, DPN, EC, ECB, ECE, ECW, EX, IC, ICE, IR, IXB, NJ, RE, RHI, RHT, RJ, RJB, RJd, RJX, TGV, THA","Flexpreis, Flexpreis Europa, Normalpreis, Normalpreis Europa, Prag Spezial, Quer-durchs-Land-Ticket, Regio-Ticket Main-Spessart plus Frankfurt, Sparpreis, Super Offerta, Super Sparpreis, Super Sparpreis Europa",2025-08-09,432000,0,1,2,2025-07-11 14:49:47,Completed,0,Success,2025-07-03 06:31:32,0,b2195a80-56c4-4fae-84b0-d94310294121,d31e5648-6666-4803-8bb2-a078af897d0b
88583811-5b10-11f0-86f9-babc08437d02,tripdbahn,TRIPEU,9,DE8003,26,DE4739,"1st class, 2nd class","DB 1 change, DNZ, DPF, DPN, EC, ECB, ECE, ECW, EX, IC, ICE, IR, IXB, NJ, RE, RHI, RHT, RJ, RJB, RJd, RJX, TGV, THA","Flexpreis, Flexpreis Europa, Normalpreis, Normalpreis Europa, Prag Spezial, Quer-durchs-Land-Ticket, Regio-Ticket Main-Spessart plus Frankfurt, Sparpreis, Super Offerta, Super Sparpreis, Super Sparpreis Europa",2025-07-21,172800,0,1,2,2025-07-11 13:32:19,Completed,0,Success,2025-07-07 08:57:07,0,0654bf66-94b0-4474-9939-de528c2926a6,d31e5648-6666-4803-8bb2-a078af897d0b
88678840-5b10-11f0-86f9-babc08437d02,tripdbahn,TRIPEU,1300,DE2815,53,DK0624,"1st class, 2nd class","DB 1 change, DNZ, DPF, DPN, EC, ECB, ECE, ECW, EX, IC, ICE, IR, IXB, NJ, RE, RHI, RHT, RJ, RJB, RJd, RJX, TGV, THA","Flexpreis, Flexpreis Europa, Normalpreis, Normalpreis Europa, Prag Spezial, Quer-durchs-Land-Ticket, Regio-Ticket Main-Spessart plus Frankfurt, Sparpreis, Super Offerta, Super Sparpreis, Super Sparpreis Europa",2025-07-25,43200,0,1,2,2025-07-11 13:09:38,Pending,4,Success,2025-07-07 08:57:07,0,7fc60d5b-c8fe-4e4c-8564-a7543017b665,f08cb97d-2746-4973-9585-58a1518c52cd
